Symbol,Best_Strategy,ROI_30d,Trades,Volatility
PEPE/USDT,Standard,37.9279830699026,5,6.139803780245655
FET/USDT,Standard,14.789778743416605,2,6.353917611177579
XRP/USDT,Standard,13.986670821609618,4,4.354276642160545
ARB/USDT,Proteus,12.509917244409735,2,5.622024082360739
SHIB/USDT,Proteus,9.025734983834127,2,4.021385747002532
DOT/USDT,Standard,8.453166179700771,3,4.441626580916339
BONK/USDT,Proteus,8.289473684210543,2,6.909307772934549
TIA/USDT,Proteus,8.159035236480122,1,6.057313013939815
